reactions,data_type,kcat,MW,kcat_MW
rxn07997,UniKP,9.790984298,44339.7899,794.9415987
rxn09200,UniKP,9.780142663,26959.1633,1305.994299
rxn08845,UniKP,9.772427275,41794.9076,841.7470025
rxn05455_reverse,UniKP,9.772427275,32747.2721,1074.310498
rxn05456_reverse,UniKP,9.753669026,32747.2721,1072.248351
rxn08846,UniKP,9.753669026,41794.9076,840.1312626
rxn10229,UniKP,9.74335062,29355.374,1194.877035
rxn01603,UniKP,9.74335062,48082.2129,729.5018286
rxn01466,UniKP,9.713292876,32291.772,1082.871957
rxn03080,UniKP,9.691238694,14860.9889,2347.653951
rxn01499,UniKP,9.687841405,98748.3047,88.29576661
rxn01518,UniKP,9.687841405,22094.2503,394.630148
rxn05344,UniKP,9.616228077,44339.7899,307.0187578
rxn07989,UniKP,9.599196375,25694.4805,336.2308391
rxn00014,UniKP,9.576847565,53252.7195,647.4157856
rxn00693_reverse_num1,UniKP,9.576847565,97254.0732,354.5008461
rxn05360_num1,UniKP,9.573505411,25694.4805,335.3309622
rxn02819_num1,UniKP,9.544906283,29231.1156,117.5516634
rxn00853,UniKP,9.533120424,31723.7283,1081.815895
rxn02181_reverse,UniKP,9.533120424,65391.1833,524.8296757
rxn00806,UniKP,9.533120424,40494.7051,847.4992827
rxn00351,UniKP,9.436707311,34927.6294,972.6439184
rxn06444,UniKP,9.436707311,85111.3116,135.4034437
rxn04873,UniKP,9.434702324,32969.2773,1030.19936
rxn00527_num7,UniKP,9.408627202,40262.753,841.2504214
rxn00785,UniKP,9.373161632,72109.3237,467.9475572
rxn01102,UniKP,9.320286073,39727.3283,844.5830943
rxn01066,UniKP,9.320286073,38452.2126,436.2951778
rxn02320_reverse_num1,UniKP,9.320286073,40262.753,833.3516057
rxn00612_reverse,UniKP,9.308561969,36309.6774,922.9171254
rxn22120,UniKP,9.308372,28903.8012,1159.367897
rxn08843,UniKP,9.266949942,41794.9076,798.2077652
rxn05452_reverse,UniKP,9.266949942,32747.2721,1018.741949
rxn02342,UniKP,9.191535474,38653.4201,373.9530557
rxn05367,UniKP,9.185437102,34208.4536,293.2648296
rxn07987,UniKP,9.169237689,25694.4805,321.1706857
rxn00122,UniKP,9.146550984,34272.8783,960.7475408
rxn07885,UniKP,9.144749049,37127.2144,443.3553272
rxn10262,UniKP,9.102256276,19991.8961,1639.070273
rxn12636_reverse_num1,UniKP,9.102256276,29848.9962,1097.796468
rxn06735,UniKP,9.088041732,32291.772,1013.166767
rxn05392,UniKP,9.041655857,34208.4536,288.6743043
rxn05012,UniKP,9.026071969,72109.3237,450.6193849
rxn05006_num1,UniKP,9.026071969,51583.9245,629.9221977
rxn05071,UniKP,9.026071969,81669.6129,208.5907618
rxn05343,UniKP,9.026071969,44339.7899,288.1767551
rxn04896,UniKP,9.026071969,32969.2773,985.5799626
rxn04954,UniKP,9.026071969,33440.8223,971.6824185
rxn04919,UniKP,9.026071969,32969.2773,985.5799626
rxn06297,UniKP,9.026071969,32291.772,1006.25816
rxn06386,UniKP,9.026071969,37899.4171,857.3709459
rxn06432,UniKP,9.026071969,63285.2681,513.4506033
rxn05345,UniKP,9.026071969,34208.4536,288.1767551
rxn05327,UniKP,9.026071969,28969.9665,1121.639512
rxn05326,UniKP,9.026071969,28969.9665,1121.639512
rxn05323,UniKP,9.026071969,28969.9665,1121.639512
rxn05322,UniKP,9.026071969,28969.9665,1121.639512
rxn05233_num1,UniKP,9.026071969,40340.5691,805.488366
rxn04916,UniKP,9.026071969,32969.2773,985.5799626
rxn02639_reverse,UniKP,9.018332638,21385.8988,1518.103017
rxn01644_num1,UniKP,9.018332638,30999.0476,261.8306046
rxn02504_reverse,UniKP,8.861189452,16264.2862,1961.369939
rxn06937_num1,UniKP,8.854150025,53892.3276,591.4559921
rxn00633,UniKP,8.851989913,47189.0418,168.8271391
rxn01029,UniKP,8.800993822,35748.8391,886.2827034
rxn02693,UniKP,8.799957188,35066.9096,903.4113994
rxn08306,UniKP,8.740951202,22120.2321,1422.563027
rxn03031_reverse,UniKP,8.729336264,29027.9096,360.8666163
rxn03408_reverse,UniKP,8.729336264,42379.2013,741.5338087
rxn12639_num1,UniKP,8.723006181,29848.9962,1052.056225
rxn06435,UniKP,8.69747658,58522.9982,535.0189951
rxn10207,UniKP,8.629744474,22605.4401,318.7959787
rxn01476,UniKP,8.534753413,25530.8671,1203.449619
rxn10203,UniKP,8.534753413,37422.9261,315.2868634
rxn07979_reverse,UniKP,8.534753413,17270.3157,1779.070679
rxn00148_reverse,UniKP,3204.0,51444.5492,224210.34257988987
rxn02283,UniKP,8.511605464,32482.2291,943.3398051
rxn00423,UniKP,8.511605464,28211.8097,1086.133077
rxn01143,UniKP,8.511605464,22094.2503,346.7166712
rxn00251_reverse,UniKP,8.511605464,98748.3047,77.57545753
rxn02185_num1,UniKP,8.511605464,18470.0746,367.6251378
rxn08546,UniKP,8.507653951,22605.4401,314.2857678
rxn08521,UniKP,8.507653951,31443.1375,487.0308223
rxn07230,UniKP,8.480452466,29835.5147,1023.264696
rxn05442,UniKP,8.466299991,28969.9665,1052.078537
rxn03108,UniKP,8.414355398,29637.523,1022.0719
rxn08797,UniKP,8.414355398,41794.9076,724.7696232
rxn12154_reverse,UniKP,8.412773661,32969.2773,918.6123463
rxn08551,UniKP,8.354164199,37422.9261,308.6156213
rxn00781,UniKP,8.32436468,36101.6886,207.5229304
rxn03063,UniKP,8.318600883,33586.0882,445.8239227
rxn00791,UniKP,8.235543057,36136.6579,410.2199363
rxn10264,UniKP,8.235543057,19991.8961,1482.998654
rxn01575,UniKP,8.217997894,40494.7051,730.584217
rxn06438,UniKP,8.199887135,75001.9159,136.6029483
rxn03445,UniKP,8.130467452,41924.4962,698.1522852
rxn02303,UniKP,8.107139005,32645.3654,447.0113914
rxn02418_num1,UniKP,8.082052482,32079.3795,906.9810386
rxn03137_reverse,UniKP,8.082052482,56449.6157,515.4222677
rxn02409,UniKP,8.082052482,114487.7733,254.1353378
rxn08352,UniKP,8.07804989,36503.7903,796.6564394
rxn08386,UniKP,8.07804989,28969.9665,1003.832007
rxn03446,UniKP,8.043610523,50403.6898,574.5015494
rxn01637,UniKP,7.947285276,42859.9286,333.7642867
rxn05023_num1,UniKP,7.942685237,19240.7482,1486.09953
rxn08394,UniKP,7.815088189,28969.9665,971.1546432
rxn08393,UniKP,7.815088189,28969.9665,971.1546432
rxn10260,UniKP,7.681426717,19991.8961,1383.217282
rxn12638_num1,UniKP,7.678022662,29848.9962,926.0238233
rxn06078,UniKP,7.637775443,44181.1951,155.5865088
rxn08822,UniKP,7.630076139,41794.9076,657.2158112
CYOR_Q10,UniKP,7.563710493,21238.7017,1282.063196
rxn06728,UniKP,7.561741298,32291.772,843.0094414
rxn04674,UniKP,7.561741298,27406.1064,993.2920889
rxn03422,UniKP,7.561741298,50575.0862,538.2545186
rxn06441,UniKP,7.561741298,95426.6388,285.2690718
rxn00604,UniKP,8000.0,53858.7285,534732.2672127323
rxn02305_num1,UniKP,7.500125376,25613.5957,1054.145293
SacC,UniKP,7.489083585,46099.7864,584.833532
rxn02961,UniKP,7.455329663,24672.472,1087.81912
rxn14138_reverse,UniKP,7.451807863,21385.8988,1254.401723
rxn11755_num1,UniKP,7.451807863,33426.8232,802.5443563
rxn06023,UniKP,7.450722389,14638.8201,1832.292522
rxn05937,UniKP,7.450722389,31188.1544,860.0252601
rxn05872_num1,UniKP,7.450722389,36122.01,742.5555942
rxn08840,UniKP,7.401873682,41794.9076,637.5596164
rxn02475_num1,UniKP,7.391862382,35145.1102,757.1666279
rxn02011,UniKP,7.383230802,51755.772,513.5587754
rxn09202,UniKP,7.383230802,26959.1633,985.9219513
rxn00527_num6,UniKP,7.383230802,40262.753,660.1543339
rxn05408,UniKP,7.383230802,32747.2721,811.6593897
rxn00640_reverse,UniKP,7.383230802,52267.0764,508.5348697
rxn05349_reverse,UniKP,7.383230802,34208.4536,388.4950661
rxn00527_num5,UniKP,7.383230802,43682.1532,608.4780383
rxn02090_num1,UniKP,7.383230802,40881.0173,325.085243
rxn06437,UniKP,7.383230802,54109.7829,227.5488316
rxn01871,UniKP,7.379314181,46832.8769,23.63504445
rxn10228,UniKP,7.376339267,29355.374,904.5982981
rxn06434,UniKP,7.351751872,66456.746,199.1243051
rxn05425,UniKP,7.342244999,44339.7899,234.4169586
rxn05446,UniKP,7.333323797,28969.9665,911.2874075
rxn04894,UniKP,7.328513309,32969.2773,800.2191759
rxn02009,UniKP,7.291347224,24041.2053,1091.827538
rxn01486_num1,UniKP,7.291347224,32291.772,812.8649615
rxn05434,UniKP,7.269075226,28969.9665,903.3034544
rxn05433,UniKP,7.269075226,28969.9665,903.3034544
rxn03167,UniKP,7.244492017,63010.6888,413.9007486
rxn03164,UniKP,7.244492017,49304.7747,528.9583295
