,kcat,MW,kcat_MW
rxn01974_reverse,17.181734,58594.3764,105.5634452
rxn02008,8.892607,47475.7433,67.43103525
rxn02009,0.50606835,24041.2053,7.578014651
rxn02009_reverse,4.081445,24041.2053,61.11674443
rxn02011,9.042431,51755.772,62.89685255
rxn02107,12.611826,74254.4288,61.14460017
rxn02107_reverse,12.557276,74254.4288,60.8801311
rxn02155,7.7241883,24672.472,112.7048716
rxn02159,16.856796,46338.1927,130.9599319
rxn02159_reverse,20.949131,46338.1927,162.7531572
rxn02166,16.2579,63010.6888,92.88652626
rxn02175,2.1114593,120227.652,6.322383706
rxn02181,10.63793,65391.1833,58.56530815
rxn02181_reverse,10.959371,65391.1833,60.33494671
rxn02182,16.574104,51078.6542,116.8135209
rxn02182_reverse,41.707405,51078.6542,293.9518677
rxn02185_num1,18.505384,101820.6851,65.42814197
rxn02185_num2,18.505384,36940.1492,180.3441075
rxn02185_reverse_num1,21.572569,101820.6851,76.27256517
rxn02185_reverse_num2,21.572569,36940.1492,210.2353404
rxn02186,1.1426271,36574.4253,11.24681393
rxn02186_reverse,0.81085455,36574.4253,7.981195483
rxn02190_num1,146.8945,33426.8232,1582.023505
rxn02199,6.5202312,82368.2498,28.49742756
rxn02201,2.3480935,40155.666,21.05091869
rxn02212,0.51447505,41032.6094,4.513751884
rxn02213,26.177021,189899.5752,49.62479537
rxn02222,24.834555,31723.7283,281.8218501
rxn02229,68.042755,72526.1614,337.7455987
rxn02229_reverse,86.339554,72526.1614,428.5658973
rxn02230_num1,15.480344,32514.7032,171.3970386
rxn02230_num2,68.042755,72526.1614,337.7455987
rxn02230_reverse_num1,23.484396,32514.7032,260.0172146
rxn02230_reverse_num2,86.339554,72526.1614,428.5658973
rxn02264,7.957585,27127.109,105.6039772
rxn02264_reverse,8.700948,27127.109,115.4690417
rxn02275,24.016771,31723.7283,272.5416596
rxn02277,5.3454094,106439.6632,18.07923218
rxn02283,26.218601,32482.2291,290.5803149
rxn02283_reverse,16.77576,32482.2291,185.9254665
rxn02285,3.587488,33904.4008,38.09227267
rxn02285_reverse,9.7223015,33904.4008,103.2322783
rxn02286,15.146516,51022.5204,106.8693925
rxn02288,14.868905,76573.2478,69.90438507
rxn02297_num1,0.759599,43703.7864,6.257023991
rxn02303,1.4155555,65290.7308,7.805089233
rxn02305_num1,5.68863,25613.5957,79.9538973
rxn02305_reverse_num1,6.0376024,25613.5957,84.85871681
rxn02312,9.274509,93857.844,35.57319343
rxn02312_reverse,10.762997,93857.844,41.28241983
rxn02320_num1,13.968275,40262.753,124.8940677
rxn02320_num2,58.30558,40262.753,521.3257226
rxn02320_num3,27.70116,120945.7216,82.45366159
rxn02320_num4,76.21957,40262.753,681.4994792
rxn02320_reverse_num1,14.825172,40262.753,132.5558121
rxn02320_reverse_num2,53.324238,40262.753,476.7862168
rxn02320_reverse_num3,26.88868,120945.7216,80.03528088
rxn02320_reverse_num4,73.98403,40262.753,661.5109205
rxn02331,9.514177,31253.5603,109.5908334
rxn02339_num1,58.3638,43682.1532,480.996619
rxn02339_num3,50.390297,44113.9488,411.2192949
rxn02339_num5,78.32468,90569.94,311.3271887
rxn02339_reverse_num1,66.5681,43682.1532,548.6111431
rxn02339_reverse_num3,51.912914,44113.9488,423.6448912
rxn02339_reverse_num5,78.32468,90569.94,311.3271887
rxn02341,2.6052966,90724.7496,10.33793733
rxn02342_reverse,4.2587714,88485.7797,17.32659993
rxn02342,9.801223,88485.7797,39.87578899
rxn02362,7.7241883,41368.9265,67.21730592
rxn02362_reverse,9.513752,41368.9265,82.79041807
rxn02391,37.837193,47894.2165,284.4057274
rxn02391_reverse,98.09126,47894.2165,737.3093492
rxn02402,1.6447579,34940.5818,16.9462789
rxn02405_num1,2.4227495,29083.1678,29.98950548
rxn02405_num2,2.6450217,22120.2321,43.04691776
rxn02409,4.0126143,114487.7733,12.61742723
rxn02418_num1,21.815205,32079.3795,244.8137689
rxn02473,11.602297,21675.3102,192.6997529
rxn02474,7.9088593,35145.1102,81.01238926
rxn02474_reverse,4.6280932,35145.1102,47.40669591
rxn02475_num1,11.646185,35145.1102,119.2947348
rxn02475_num2,32.96992,47476.7214,249.9998073
rxn02476,15.889339,47787.9041,119.698952
rxn02476_reverse,12.154846,47787.9041,91.56594419
rxn02503,3.0161557,20865.3312,52.03924355
rxn02504,9.801223,16264.2862,216.9440599
rxn02504_reverse,7.957584,16264.2862,176.1362414
