,fluxes,kcat_MW,E,equ,ec-code
rxn15166,0.0,95679.9702190992,0.0,cpd00001_c0 + cpd19019_c0 --> cpd00013_c0 + cpd00020_c0 + cpd00135_c0,4.4.1.13
rxn16573,0.0,1269.6618696628243,0.0,cpd00001_c0 + cpd21088_c0 --> cpd00116_c0 + cpd21087_c0,3.1.1.85
rxn16806,0.0,,,cpd00001_c0 + cpd02978_c0 --> cpd00067_c0 + cpd00071_c0 + cpd00421_c0 + cpd21472_c0,4.1.2.50
rxn16824,0.0,,,cpd00002_c0 + cpd00013_c0 + cpd21481_c0 --> cpd00001_c0 + cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd14718_c0,6.3.4.20
rxn18911,0.0,100082.38883701322,0.0,cpd00001_p0 + cpd00038_p0 --> cpd00009_p0 + cpd00031_p0 + cpd00067_p0,
rxn21734,0.0,,,cpd00136_c0 + cpd19241_c0 --> cpd00012_c0 + cpd00067_c0 + cpd25880_c0,2.5.1.39
rxn22110,3.978437930657891e-31,,,cpd00017_c0 + cpd25884_c0 --> cpd00019_c0 + cpd00067_c0 + cpd25886_c0,2.1.1.201
rxn22120,3.978437930657892e-31,,,cpd00017_c0 + cpd25888_c0 --> cpd00019_c0 + cpd00067_c0 + cpd25915_c0,2.1.1.64
rxn22482,3.978437930657891e-31,,,cpd00017_c0 + cpd25883_c0 --> cpd00019_c0 + cpd00067_c0 + cpd25881_c0,2.1.1.222
rxn25461,0.0,,,cpd00067_c0 + cpd25880_c0 --> cpd00011_c0 + cpd25879_c0,4.1.1.98
rxn25462,0.0,,,cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd25879_c0 --> cpd00001_c0 + cpd00006_c0 + cpd25883_c0,1.14.13.240
rxn25463,3.978437930657891e-31,,,cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd25881_c0 --> cpd00001_c0 + cpd00006_c0 + cpd25884_c0,1.14.13.M56
rxn25464_num1,3.978437930657892e-31,,,cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd25886_c0 --> cpd00001_c0 + cpd00006_c0 + cpd25888_c0,1.14.99.60
rxn25990_num1,0.0,111.98488088901075,0.0,cpd00007_p0 + 4.0 cpd00067_p0 + 4.0 cpd10515_p0 --> 2.0 cpd00001_p0 + 4.0 cpd10516_p0,1.16.3.1
rxn27697,0.0,6677.013429625875,0.0,cpd00024_c0 + cpd00035_c0 --> cpd00020_c0 + cpd00023_c0,2.6.1.2
rxn29950,0.0,35680.43545586186,0.0,cpd00001_p0 + cpd00132_p0 --> cpd00013_p0 + cpd00041_p0,3.5.1.1
rxn29958,0.0,,,cpd00001_c0 + cpd00507_c0 --> cpd00067_c0 + cpd00080_c0 + cpd00098_c0,3.1.4.2
rxn29959,0.0,,,cpd00001_c0 + cpd00908_c0 --> cpd00067_c0 + cpd00080_c0 + cpd00162_c0,"3.1.4.2,3.1.4.46"
rxn29960,0.0,,,cpd00001_c0 + cpd00902_c0 --> cpd00067_c0 + cpd00080_c0 + cpd00121_c0,3.1.4.44
rxn29962,0.0,123380.36134790708,0.0,cpd00001_p0 + cpd00053_p0 --> cpd00013_p0 + cpd00023_p0,
rxn29964,0.0,376.9901262080333,0.0,cpd00001_p0 + cpd00042_p0 --> cpd00023_p0 + cpd01017_p0,3.4.19.13
rxn30018,0.0,737530.3075,0.0,cpd00001_c0 + cpd01693_c0 --> cpd00079_c0 + cpd00082_c0,3.2.1.26
rxn30415_num1,0.0,352765.34624265856,0.0,2.0 cpd00001_c0 + cpd01881_c0 --> cpd00013_c0 + cpd00703_c0,3.5.5.1
