reactions,data_type,kcat,MW,kcat_MW
rxn00527_reverse_num7,DLkcat,13.5163,40262.753000000055,1208.528388508355
rxn00527_reverse_num9,DLkcat,13.5163,40262.753000000055,1208.528388508355
rxn00527_reverse_num8,DLkcat,13.5163,40262.753000000055,402.31832392490287
rxn01368_num2,DLkcat,13.5128,31443.13750000002,773.5563920744228
rxn00420_num1,DLkcat,13.4851,32079.379500000043,1513.319794729818
rxn00693_reverse_num1,DLkcat,13.3241,97254.07320000068,493.21080775051456
rxn02639,DLkcat,13.1431,21385.898799999984,2212.4466426447334
rxn14138,DLkcat,13.1431,21385.898799999984,2212.4466426447334
rxn00859_reverse,DLkcat,13.1292,46338.19270000007,1020.003527241578
rxn03084,DLkcat,13.0932,8624.866499999998,427.8738063405623
rxn00505,DLkcat,124.0,46347.61990000009,9631.56254761637
rxn00198,DLkcat,13.0057,46347.61990000009,1010.2033308510825
rxn01301_reverse,DLkcat,12.9431,45534.64430000006,1023.2903038181838
rxn01302_reverse,DLkcat,12.9431,45534.64430000006,1023.2903038181838
rxn01200_reverse,DLkcat,12.8672,72109.32370000033,642.3846130178002
rxn00785_reverse,DLkcat,12.8672,72109.32370000033,642.3846130178002
rxn00126,DLkcat,12.7837,42686.54510000001,269.53059735911955
rxn02283_reverse,DLkcat,12.6445,32482.2291,1401.3878130057276
rxn02362_reverse,DLkcat,12.6117,41368.92650000004,1097.4933081717738
rxn06280,DLkcat,12.4862,45013.91090000006,499.2936527983391
rxn00816,DLkcat,12.3938,114487.77330000087,389.7156763026996
rxn03164,DLkcat,12.2755,49304.7747000001,896.2985891100705
rxn01547,DLkcat,12.2608,14150.205499999987,1559.6550876946642
rxn00655_reverse,DLkcat,12.1232,16114.201099999987,2708.388689526783
rxn06444,DLkcat,12.0929,85111.31160000061,173.51606346606678
rxn00159,DLkcat,11.9627,61864.25210000017,696.13255697954
rxn01547_reverse,DLkcat,11.9107,14150.205499999987,1515.1200454297305
rxn00693_num1,DLkcat,11.802,97254.07320000068,436.8680776241227
rxn12510,DLkcat,11.7134,29706.829000000023,709.7398379342334
rxn00337_reverse_num1,DLkcat,11.6462,45450.450400000045,922.4621457216616
rxn05383,DLkcat,11.4158,32747.272100000017,1254.971097271946
rxn01334_reverse,DLkcat,11.3663,32790.98150000001,1247.8638371956015
rxn02297_num1,DLkcat,11.3577,43703.78640000003,467.7823521487828
rxn03618,DLkcat,11.3292,37127.214400000026,549.261783561117
rxn00952,DLkcat,11.1563,44181.195100000026,227.2611679533312
rxn06078,DLkcat,11.1563,44181.195100000026,227.2611679533312
rxn03167,DLkcat,11.1479,63010.68880000016,636.914795954427
rxn00412_num2,DLkcat,11.033,45702.533800000005,217.26804127433297
rxn05465,DLkcat,2100.0,32747.272100000017,230858.92397125793
rxn01637,DLkcat,10.665,42859.92859999998,447.9008861438003
rxn04794,DLkcat,10.6557,86086.06540000046,222.8033063292947
rxn00555_reverse,DLkcat,10.6486,65986.9815000002,290.4736595657121
rxn11759,DLkcat,10.6435,54737.5608000001,700.0056166185602
rxn01362_num2,DLkcat,3534.0,54737.5608000001,232425.40979283053
rxn01800_num2,DLkcat,10.6133,31443.13750000002,607.5710478955858
rxn03910_reverse,DLkcat,10.4489,41368.92650000004,909.2824779971016
rxn04954,DLkcat,10.3955,33440.82230000003,1119.1052559733248
rxn07292_reverse,DLkcat,10.2759,42312.76140000008,437.1404604191105
rxn00085_reverse,DLkcat,41.9,53388.88840000016,2825.3069977759556
rxn01964_num1,DLkcat,10.2552,44328.01430000002,252.29503984996165
rxn04954_reverse,DLkcat,10.2207,33440.82230000003,1100.2875368887078
rxn02339_reverse_num1,DLkcat,10.2092,43682.15320000007,841.3761068902604
rxn00338,DLkcat,10.2061,58279.85190000007,630.4401744713417
rxn00262,DLkcat,10.2061,58279.85190000007,630.4401744713417
rxn05293,DLkcat,10.2046,39940.52270000006,919.7816532330946
rxn00179_reverse,DLkcat,10.0973,42508.11390000007,855.1374470651341
rxn01100,DLkcat,10.0305,41387.17040000006,872.4877697848111
rxn00903_reverse,DLkcat,9.9637,40494.70509999999,885.7780273105387
rxn00806_reverse,DLkcat,9.8853,40494.70509999999,878.8082272020303
