metname,inchikey
cpd12431,NA
3hcmrs7eACP,NA
pser__L,BZQFBWGGLXLEPQ-REOHCLBHSA-L
retinal,NCYCYZXNIZJOKI-OVSJKPMPSA-N
ttdcea,NA
cpd15690,NA
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N
hdcea,NA
PROTEIN,NA
cpd15687,NA
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K
pppg9,UHSGPDMIQQYNAX-UHFFFAOYSA-L
dptne,HHXYJYBYNZMZKX-PYQRSULMSA-N
cpd10556,NA
cpd11499,NA
2ddecg3p,NA
cpd11512,NA
cpd15695,NA
g15lac,PHOQVHQSTUBQQK-SQOUGZDYSA-N
kdolipid4,GPNCBCJEDRRCDW-ACUQGRCXSA-I
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
dgcholcoa,NA
hexdp,NGFSMHKFTZROKJ-MMSZMYIBSA-K
PE,NA
cpd25915,NA
cpd00301,NA
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
cpd10560,NA
ps180,TZCPCKNHXULUIY-RGULYWFUSA-M
cpd16439,NA
5htrp,NA
pgp120,NA
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M
cbl1,OMAOKVYASDIYQG-DSRCUDDDSA-L
ara5p,PPQRONHOSHZGFQ-WDCZJNDASA-L
ivcoa,UYVZIWWBJMYRCD-ZMHDXICWSA-J
3hmoa,DNOPJXBPONYBLB-UHFFFAOYSA-M
cl,VEXZGXHMUGYJMC-UHFFFAOYSA-M
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
cpd09812,NA
hxa,FUZZWVXGSFPDMH-UHFFFAOYSA-M
cpd10553,NA
biocyt,NA
cpd15699,NA
6hmhpt,CQQNNQTXUGLUEV-UHFFFAOYSA-N
cpd00329,NA
tdchola,BHTRKEVKTKCXOH-BJLOMENOSA-M
cpd00315,NA
gicolipa,JIYBFSMTJJSDHN-XHEUBBKESA-C
cpd02824,NA
cpd11520,NA
aacoa,OJFDKHTZOUZBOS-CITAKDKDSA-J
tmrs2eACP,NA
phphhlipa,MVYTXVAKEAWEGM-WMKPBWIYSA-D
duri,MXHRCPNRJAMMIM-SHYZEUOFSA-N
2tdec7eg3p,NA
asp__L,CKLJMWTZIZZHCS-REOHCLBHSA-M
cpd15604,NA
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
pap,WHTCPDAXWFLDIH-KQYNXXCUSA-J
Ntmelys,NA
clpn181,HSSSADMXQPKIEB-GXYAQEMJSA-L
sufsesh,NA
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
ptd1ino160,NA
cpd15672,NA
g3pi,BMVUIWJCUQSHLZ-UJGXJMNGSA-M
frmd,ZHNUHDYFZUAESO-UHFFFAOYSA-N
cpd11510,NA
3hoctaACP,NA
mobd,MEFBJEMVZONFCJ-UHFFFAOYSA-N
Largn,MIEILDYWGANZNH-DSQUFTABSA-M
LIPIDS,NA
cpd14790,NA
cpd11525,NA
2c25dho,DHCUIDTZCMREHG-UHFFFAOYSA-L
cpd06559,NA
cpd11527,NA
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
LalaDglu,VYZAGTDAHUIRQA-CRCLSJGQSA-M
dnad,SENPVEZBRZQVST-HISDBWNOSA-L
pa140,OZSITQMWYBNPMW-GDLZYMKVSA-L
dca,NA
xtsn,UBORTCNDUKBEOP-UUOKFMHZSA-N
toct2eACP,NA
cdpdhdec9eg,LBKBJHVQQNUXGQ-BQUKFSKHSA-L
cmpacna,TXCIAUNLDRJGJZ-BILDWYJOSA-L
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
selhcys,RCWCGLALNCIQNM-VKHMYHEASA-N
2amsa,XMTCKNXTTXDPJX-REOHCLBHSA-N
ethamp,SUHOOTKUPISOBE-UHFFFAOYSA-M
hista,NTYJJOPFIAHURM-UHFFFAOYSA-O
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
2agpg180,ZYKIFISVQNGKFE-UHFFFAOYSA-M
23ddhb,INCSWYKICIYAHB-WDSKDSINSA-M
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
lipidAds,HLDJGHAAKRKPAV-QDORLFPLSA-L
met__L,FFEARJCKVFRZRR-BYPYZUCNSA-N
1agpg180,HFJVKBVEKQHVTO-XZOQPEGZSA-M
sufbcd__2fe2s,NA
cpd01371,NA
5mtr,ACWASDPGAVYCNI-JKUQZMGJSA-N
cpd11541,NA
cpd34385,NA
lipidX,HEHQDWUWJVPREQ-XQJZMFRCSA-L
56dh5flura,RAIRJKWTBBDDAR-UHFFFAOYSA-N
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
cpe180,HCFAHMIUAQMBSN-UHFFFAOYSA-M
u3aga,TZSJGZGYQDNRRX-MPLCHSTDSA-L
pa160,PORPENFLTBBHSG-MGBGTMOVSA-L
idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K
pheme,KABFMIBPWCXCRK-RGGAHWMASA-J
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
cpd09793,NA
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
anhm,NA
cpd11538,NA
oaa,KHPXUQMNIQBQEV-UHFFFAOYSA-L
cpd11533,NA
sulfac,AGGIJOLULBJGTQ-UHFFFAOYSA-L
cpd00195,NA
cpd00491,NA
cpd02688,NA
cpd04016,NA
cpd05630,NA
pp2coa,POODSGUMUCVRTR-IEXPHMLFSA-J
anhgm3p,ZWZMFRJKRXDGBE-UHFFFAOYSA-L
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
cpd08449,NA
cdpdhdecg,NA
vioxan,SZCBXWMUOPQSOX-WVJDLNGLSA-N
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
ctp,PCDQPRRSZKQHHS-XVFCMESISA-J
