,kcat,MW,kcat_MW
rxn02186,1.1426271,365744.2530482052,11.24681393
rxn02190_num1,146.8945,334268.2320007629,1582.023505
rxn02199,6.5202312,823682.4980282536,28.49742756
rxn02201,2.3480935,401556.6600433247,21.05091869
rxn02212,0.51447505,410326.0940339272,4.513751884
rxn02213,26.177021,1898995.7519697878,49.62479537
rxn02222,24.834555,317237.2829440878,281.8218501
rxn02229,68.042755,725261.6138976795,337.7455987
rxn02230_num1,15.480344,325147.03203279263,171.3970386
rxn02264,7.957585,271271.0899680017,105.6039772
rxn02275,24.016771,317237.28301535593,272.5416596
rxn02277,5.3454094,1064396.631914929,18.07923218
rxn02283,26.218601,324822.2909816937,290.5803149
rxn02285,3.587488,339044.00800352666,38.09227267
rxn02286,15.146516,510225.2040966734,106.8693925
rxn02288,14.868905,765732.4779611282,69.90438507
rxn02297_num1,0.759599,437037.863996261,6.257023991
rxn02303,1.4155555,652907.3080233418,7.805089233
rxn02305_num1,5.68863,256135.95698980393,79.9538973
rxn02312,9.274509,938578.4401307824,35.57319343
rxn02320_num1,13.968275,402627.53008243965,124.8940677
rxn02331,9.514177,312535.6030005335,109.5908334
rxn02339_num1,58.3638,436821.53200332576,480.996619
rxn02341,2.6052966,907247.4963436443,10.33793733
rxn02342,9.801223,884857.7970168461,39.87578899
rxn02362,7.7241883,413689.2649802886,67.21730592
rxn02391,37.837193,478942.164931943,284.4057274
rxn02402,1.6447579,349405.81793446117,16.9462789
rxn02405_num1,2.4227495,290831.6779620336,29.98950548
rxn02409,4.0126143,1144877.7327325232,12.61742723
rxn02418_num1,21.815205,320793.7950257993,244.8137689
rxn02473,11.602297,216753.10202227044,192.6997529
rxn02474,7.9088593,351451.10198666906,81.01238926
rxn02475_num1,11.646185,351451.1019307786,119.2947348
rxn02476,15.889339,477879.04107965785,119.698952
rxn02503,3.0161557,208653.31198689184,52.03924355
rxn02504,9.801223,162642.8620182746,216.9440599
rxn02507,2.4190445,293402.456994184,29.68127905
rxn02508,16.749157,232043.889985124,259.8515531
rxn02518,15.6361065,458731.67207413726,122.7078635
rxn02548,0.3771093,478791.76000276505,2.835457068
rxn02687,13.669843,742544.2879759024,66.27407361
rxn02789_num1,7.875781,213360.100951717,132.8871306
rxn02792,24.410435,1188890.5539409618,73.9156062
rxn02795_num1,17.47878,380847.2789870895,165.220054
rxn02811_num1,7.644784,213360.10106344646,128.9895452
rxn02835,15.261391,399993.5140209957,137.3547462
rxn02895,14.93117,440435.7361237791,122.0432576
rxn02914,23.238403,419244.9620823792,199.5450354
rxn02938_num1,17.623425,795302.8879555918,79.77379557
rxn02961,8.198033,246724.71991377525,119.6188157
rxn02962_num1,18.713116,515839.2451294418,130.5973096
rxn03004,15.734637,228999.57401280242,247.357199
rxn03052,0.5501608,849279.4839448738,2.332069616
rxn03062,15.961952,754551.7199743638,76.15518682
rxn03063,3.2578301,671721.7640811567,17.45989037
rxn03068,0.83535564,365744.25301931315,8.222358326
rxn03080,2.419045,148609.88901031582,58.60015143
rxn03084,14.74872,1187870.6689692987,44.69795693
rxn03108,2.359992,296375.230009159,28.66626607
rxn03114,2.4649305,389508.35793281405,22.78192398
rxn03135,15.318192,496720.42908905516,111.0191729
rxn03136,4.258771,485822.51903463464,31.55797642
rxn03137,10.716813,564496.1569695158,68.34506546
rxn03164,1.6356612,493047.74689451157,11.94281965
rxn03167,3.2809925,630106.888006658,18.74534817
rxn03174,1.6427593,2281304.1897690836,2.592347617
rxn03175,6.440435,261463.14499046226,88.67623007
rxn03185,7.485558,322917.7199827218,83.45162601
rxn03194_num1,11.040637,648805.3589476469,61.26073506
rxn03273,10.09738,1144877.732968632,31.7506114
rxn03282_num1,46.490196,361220.1000078536,463.3316518
rxn03366,11.286915,742544.2880313727,54.7211724
rxn03384,15.781053,765732.4779601549,74.1927402
rxn03406,17.658966,6260560.270683417,10.15440709
rxn03407,11.660925,6260560.271667447,6.705363127
rxn03408,1.4004244,423792.0130499277,11.89623137
rxn03409,4.7655535,6260560.273085232,2.740328637
rxn03419,2.3480935,2281304.190042234,3.705396517
rxn03421,1.415571,2281304.1896303603,2.233834323
rxn03435,0.81085455,365744.2530029057,7.981195483
rxn03437,75.8,131356.0298,2077.407488757703
rxn03445,21.89522,419244.9619944129,188.011304
rxn03446,29.487244,504036.8979237312,210.6077528
rxn03462,4.387455,1144877.7333532232,13.79609153
rxn03463,7.485558,322917.7199827218,83.45162601
rxn03618,8.823411,742544.2880463669,42.77762298
rxn03638,11.404408,1473071.2081761712,27.8709329
rxn03839,25.584967,317237.28297425347,290.3375049
rxn03842,2.9372988,357488.39103366993,29.57935403
rxn03848,22.556816,204233.648021095,397.6060673
rxn03849,21.89522,204233.64801928148,385.9442005
rxn03869,24.106152,317237.28294608695,273.5559528
rxn03884,999.0,64515.3903,55744.838297909206
rxn03891,4.5164957,322917.72000797116,50.35147814
rxn03892,4.7935634,322917.7199832817,53.44032604
rxn03901,18.313797,290952.6399453033,226.599316
rxn03903,1.266089,388654.5770681297,11.72743271
rxn03904,6.2898297,388654.57702909876,58.26095525
rxn03909_num1,999.0,140613.0658,25576.570566460116
rxn03910,4.5200286,413689.2649858694,39.33411944
rxn03915,12.611826,742544.2880281737,61.14460017
rxn03921,12.241919,742544.2879693011,59.35121866
rxn03933,1.4004244,423792.0130499277,11.89623137
rxn03951,10.3460865,709044.4820576543,52.52972464
